-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,16.67,42.86,0.0,30.77
OTHER,100.0,25.0,0.0,40.0
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,14.29,57.14,0.0,35.71
ASIAN-PACIFIC,0.0,66.67,0.0,33.33
WHITE,39.07,47.84,0.0,43.83
BLACK,23.49,37.66,0.0,31.74
TOTAL,31.44,43.11,0.0,37.98
