,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,100.0,50.94,36.36,,50.0,45.11,28.21,45.52
1,100.0,47.65,50.0,0.0,100.0,58.2,44.83,55.26
2,,51.72,0.0,,0.0,64.12,48.0,60.3
3,100.0,60.87,,100.0,50.0,67.41,28.57,65.34
4,100.0,62.6,100.0,,100.0,69.71,50.0,68.41
5,100.0,69.57,100.0,,100.0,77.27,52.17,75.48
6,100.0,71.02,57.14,,0.0,75.89,56.0,74.24
7,,77.6,50.0,,0.0,78.28,33.33,76.6
8,33.33,71.39,71.43,,50.0,77.28,40.0,75.64
9,85.71,64.17,60.38,50.0,56.25,70.37,41.7,68.29
