,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,25.0,42.28,60.0,,30.0,43.46,38.82,42.47
1,50.0,49.16,40.0,,57.14,55.06,51.14,52.9
2,33.33,62.07,66.67,100.0,44.44,63.62,45.57,61.79
3,33.33,59.4,0.0,,70.0,68.71,45.83,64.41
4,40.0,65.05,66.67,,50.0,73.64,49.37,69.58
5,57.14,69.69,50.0,,60.0,72.99,56.92,71.21
6,0.0,70.61,77.78,100.0,80.0,77.2,43.48,73.78
7,100.0,70.03,50.0,,100.0,80.69,44.0,76.55
8,50.0,67.43,0.0,0.0,71.43,78.38,51.96,75.31
9,43.48,62.49,51.28,40.0,58.62,71.26,46.83,67.5
