,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,40.0,47.97,50.0,,0.0,57.23,35.0,53.28
1,33.33,48.53,46.15,,100.0,70.87,53.49,64.33
2,25.0,61.84,70.0,,100.0,74.89,44.19,70.17
3,75.0,61.84,57.14,,50.0,79.64,50.0,74.67
4,50.0,65.68,100.0,100.0,75.0,82.57,64.29,78.63
5,60.0,72.05,90.91,100.0,100.0,84.94,58.62,81.21
6,66.67,69.5,77.78,0.0,100.0,85.45,59.57,80.57
7,100.0,74.07,100.0,,100.0,85.12,72.34,82.49
8,42.86,74.39,80.0,,100.0,86.73,72.37,84.31
9,54.35,65.39,66.67,66.67,80.0,81.08,58.18,76.8
