PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
CHAUN,64.44,67.77,0.00,66.24
CLARK,57.45,63.27,0.00,60.42
EDDIN,61.92,68.06,100.0,65.17
EMPIR,58.60,60.73,0.00,59.68
JAYBI,58.25,72.32,0.00,65.58
JONES,65.44,66.81,0.00,66.15
LEE,55.69,61.29,100.0,58.89
MCCRA,70.29,73.58,0.00,72.05
MILAN,69.72,62.84,0.00,65.64
MITCH,69.78,65.14,0.00,67.51
MULLI,60.09,66.15,0.00,63.29
PLAIN,70.48,73.00,0.00,71.71
PONDT,71.66,71.01,100.0,71.35
RAWLI,67.48,61.95,0.00,64.50
VILUL,79.55,70.89,0.00,75.45
YONKE,60.18,68.91,0.00,64.66
TOTAL,61.72,64.52,75.00,63.24
