-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0.0,14.0,18.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,189.0,149.0,0.0,110.0,38.0,527.0
30-34,0.0,16.0,14.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,207.0,188.0,0.0,136.0,44.0,620.0
35-39,0.0,12.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,214.0,177.0,0.0,114.0,40.0,579.0
40-44,0.0,9.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,246.0,210.0,0.0,128.0,67.0,677.0
45-49,0.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,292.0,262.0,0.0,119.0,70.0,780.0
50-54,0.0,11.0,18.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,5.0,0.0,0.0,1.0,0.0,334.0,310.0,0.0,178.0,109.0,973.0
55-59,0.0,6.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,388.0,350.0,0.0,161.0,88.0,1018.0
60-64,0.0,14.0,11.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,348.0,322.0,1.0,128.0,88.0,921.0
65-OVER,0.0,26.0,26.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,3.0,0.0,1127.0,940.0,0.0,322.0,194.0,2654.0
TOTAL,0.0,126.0,133.0,0.0,19.0,11.0,0.0,2.0,3.0,0.0,28.0,21.0,0.0,9.0,9.0,0.0,3345.0,2908.0,1.0,1396.0,738.0,8749.0
