,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,16.67,29.81,32.2,100.0,19.05,39.58,19.08,33.65
1,35.71,35.37,20.0,,25.0,41.74,35.09,38.08
2,50.0,43.46,27.27,0.0,42.86,44.99,40.43,43.13
3,35.71,49.75,51.61,50.0,44.44,54.0,41.76,51.05
4,45.45,55.56,53.33,100.0,42.86,58.33,47.14,56.25
5,28.57,57.07,45.16,100.0,37.5,66.0,44.64,60.58
6,16.67,64.95,47.83,,75.0,65.69,45.28,62.95
7,50.0,72.55,66.67,,66.67,70.06,63.89,70.04
8,37.5,62.5,25.0,100.0,50.0,66.48,55.56,64.29
9,36.25,51.07,37.33,80.0,36.59,55.86,39.69,52.02
