-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,25.0,46.34,0.0,35.8
OTHER,0.0,44.44,100.0,31.25
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,38.46,42.86,0.0,40.74
ASIAN-PACIFIC,42.86,57.14,0.0,52.38
WHITE,42.11,53.71,0.0,48.07
BLACK,26.52,46.6,0.0,38.27
TOTAL,38.62,51.8,25.0,45.62
