,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,0.0,49.37,29.41,,33.33,46.78,43.86,47.15
1,80.0,52.31,20.0,,,59.8,48.15,55.26
2,66.67,56.86,50.0,,66.67,69.41,40.54,62.3
3,50.0,59.73,71.43,,66.67,72.21,58.33,66.04
4,66.67,70.87,66.67,,50.0,73.79,68.18,72.12
5,75.0,70.52,60.0,0.0,66.67,77.19,70.69,73.95
6,63.64,70.96,80.0,,75.0,79.91,68.42,76.24
7,57.14,71.67,50.0,,75.0,84.54,78.38,80.44
8,75.0,67.95,70.0,,42.86,84.29,86.64,81.76
9,61.54,63.61,50.0,0.0,56.25,78.49,70.92,73.33
