-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,29.41,33.33,0.0,31.43
OTHER,33.33,25.0,0.0,27.27
NATIVE AMERICAN,0.0,100.0,0.0,100.0
LATINO,40.0,22.22,0.0,31.58
ASIAN-PACIFIC,16.67,0.0,0.0,8.33
WHITE,35.13,41.34,0.0,38.4
BLACK,14.94,28.18,0.0,22.34
TOTAL,32.15,38.49,0.0,35.52
