-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,100.0,48.86,0.0,0.0,33.33,45.57,54.55,48.24
30-34,100.0,45.26,0.0,0.0,0.0,57.38,42.86,47.71
35-39,0.0,56.82,0.0,0.0,0.0,71.01,50.0,60.56
40-44,0.0,56.3,0.0,0.0,100.0,71.43,16.67,60.96
45-49,0.0,61.59,100.0,0.0,50.0,78.63,33.33,68.17
50-54,0.0,66.84,100.0,100.0,0.0,76.23,60.0,70.06
55-59,100.0,64.45,0.0,0.0,100.0,83.22,36.36,71.12
60-64,100.0,70.1,0.0,50.0,0.0,82.27,0.0,74.27
65-OVER,50.0,69.37,0.0,100.0,100.0,78.5,50.0,74.16
TOTAL,71.43,61.16,50.0,60.0,46.67,75.47,41.38,66.47
