-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,42.86,75.0,0.0,54.55
OTHER,33.33,0.0,0.0,33.33
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,0.0,0.0,0.0,0.0
ASIAN-PACIFIC,0.0,100.0,0.0,100.0
WHITE,41.46,50.0,0.0,45.57
BLACK,32.63,61.29,0.0,48.86
TOTAL,35.62,59.28,0.0,48.24
