,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,0.0,25.0,51.52,33.33,42.86,43.52,34.65,42.85
1,75.0,20.0,30.56,100.0,50.0,52.56,40.0,50.87
2,75.0,66.67,25.81,,60.0,60.1,44.93,58.23
3,0.0,75.0,42.11,,50.0,65.79,57.35,64.9
4,85.71,0.0,51.85,100.0,57.14,69.39,52.24,68.16
5,66.67,50.0,82.35,,50.0,71.84,56.38,70.97
6,50.0,60.0,42.86,50.0,75.0,74.15,56.18,72.93
7,50.0,66.67,85.71,,100.0,77.79,68.6,77.42
8,55.56,100.0,54.84,100.0,81.82,76.21,69.01,75.84
9,60.53,61.36,46.98,62.5,62.9,70.07,55.92,69.01
