PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BA,33.33,59.01,50.00,0.00,0.00,60.71,28.57,58.89
BV,100.0,52.78,25.00,0.00,100.0,72.35,50.00,68.02
CN,33.33,57.41,28.57,0.00,60.00,71.65,43.40,59.26
CS,50.00,53.57,50.00,0.00,88.89,71.02,36.84,61.22
CT,0.00,0.00,44.44,0.00,50.00,75.29,58.82,73.24
HF,100.0,57.58,20.00,0.00,0.00,69.17,50.00,65.81
HI,0.00,66.67,100.0,0.00,0.00,78.01,100.0,77.78
LS,50.00,65.24,25.00,100.0,25.00,62.56,50.00,62.10
PC,0.00,43.75,0.00,0.00,0.00,84.21,66.67,77.85
PE,22.22,49.44,19.05,0.00,100.0,60.45,38.41,53.55
SC,0.00,63.49,25.00,0.00,0.00,67.53,75.00,65.98
TOTAL,44.68,54.33,29.36,20.00,61.54,66.93,42.05,60.09
