-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,10.71,36.36,0.0,17.95
OTHER,0.0,0.0,0.0,0.0
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,100.0,200.0,0.0,150.0
ASIAN-PACIFIC,0.0,100.0,0.0,100.0
WHITE,47.67,47.62,0.0,47.64
BLACK,22.81,33.33,0.0,28.99
TOTAL,33.72,42.79,0.0,38.83
