,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,38.51,37.27,37.15,38.46,31.36,42.77,30.99,38.02
1,33.33,44.82,36.86,54.55,38.35,38.78,37.98,41.64
2,31.58,52.24,29.33,33.33,44.15,44.29,38.55,47.47
3,42.31,57.46,40.94,66.67,39.84,54.69,44.33,54.58
4,53.95,62.13,50.83,50.0,48.08,58.77,46.44,59.04
5,60.0,65.42,51.2,33.33,55.56,64.73,51.35,63.59
6,61.64,70.75,60.71,20.0,62.5,68.15,52.55,68.1
7,53.76,75.15,61.62,42.86,52.27,72.58,53.3,72.11
8,53.03,74.59,49.72,29.41,61.76,72.97,55.75,72.31
9,46.19,59.69,43.35,40.51,45.18,60.06,43.6,57.78
