,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,57.14,41.8,45.95,100.0,36.84,45.51,40.68,44.55
1,54.55,44.53,37.93,,29.17,57.04,53.78,54.2
2,63.64,59.02,50.0,,76.92,66.74,60.18,65.04
3,58.33,61.32,64.29,,42.86,68.36,65.93,66.9
4,69.57,68.64,48.39,100.0,71.43,73.48,72.55,72.37
5,44.44,74.35,66.67,,71.43,76.17,76.11,75.51
6,55.56,75.89,61.29,0.0,70.0,76.87,67.82,75.98
7,69.23,77.45,70.83,100.0,66.67,80.07,69.39,79.0
8,60.0,70.0,72.22,100.0,70.0,77.78,59.24,75.99
9,59.4,65.67,57.46,83.33,55.04,71.57,62.76,69.91
