-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,28.57,28.57,50.0,0.0,38.19,36.0,36.8
30-34,0.0,30.19,33.33,0.0,0.0,51.9,33.33,48.41
35-39,100.0,50.0,50.0,0.0,0.0,56.19,15.38,54.33
40-44,0.0,61.82,28.57,0.0,0.0,66.74,52.17,64.87
45-49,100.0,51.61,100.0,0.0,66.67,65.49,55.56,63.99
50-54,100.0,59.04,100.0,0.0,0.0,66.49,30.0,64.51
55-59,60.0,69.44,100.0,100.0,0.0,73.0,33.33,71.76
60-64,50.0,68.35,75.0,100.0,100.0,78.23,70.0,76.71
65-OVER,60.0,63.01,66.67,100.0,0.0,75.38,59.38,73.65
TOTAL,55.56,55.79,53.12,71.43,20.0,65.52,43.33,63.65
