-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,27.88,37.46,32.49,40.0,30.65,41.75,31.65,38.85
30-34,40.0,46.97,41.16,31.25,38.71,49.37,39.19,47.32
35-39,39.04,55.71,41.15,37.5,52.78,58.57,42.1,55.69
40-44,49.69,61.47,51.05,55.56,48.68,61.9,43.47,60.01
45-49,59.26,64.18,52.78,62.5,56.06,66.13,55.85,64.38
50-54,65.54,70.28,61.8,77.78,56.79,72.18,51.86,70.15
55-59,64.63,71.95,57.24,33.33,62.32,75.29,56.49,72.98
60-64,63.52,75.09,58.93,80.0,58.97,76.45,53.68,74.42
65-OVER,54.41,72.7,61.08,58.33,53.49,75.83,57.57,74.15
TOTAL,51.67,60.55,49.18,51.25,49.01,66.0,46.16,62.62
