-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,39.08,42.13,0.0,40.58
OTHER,17.65,33.33,0.0,26.67
NATIVE AMERICAN,0.0,50.0,0.0,33.33
LATINO,34.41,47.75,0.0,41.67
ASIAN-PACIFIC,22.73,27.27,0.0,25.45
WHITE,42.94,44.76,0.0,43.91
BLACK,18.77,32.7,0.0,27.22
TOTAL,38.36,42.15,0.0,40.42
