,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,28.57,39.88,40.0,,33.33,47.92,56.0,45.71
1,66.67,46.22,66.67,,,64.23,60.0,60.04
2,100.0,60.98,50.0,,75.0,70.77,77.78,68.55
3,100.0,55.32,100.0,,100.0,75.51,57.69,71.18
4,66.67,64.12,100.0,,0.0,78.39,60.0,74.53
5,50.0,73.02,80.0,100.0,100.0,82.67,78.57,80.68
6,100.0,58.45,50.0,100.0,50.0,84.87,83.33,79.34
7,50.0,71.03,100.0,,100.0,87.17,81.82,83.79
8,50.0,65.14,50.0,,100.0,81.3,57.14,78.78
9,59.38,59.12,64.0,100.0,73.68,76.69,65.22,72.9
