-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,26.09,39.33,0.0,33.54
OTHER,25.0,53.85,0.0,47.06
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,30.77,16.67,0.0,24.0
ASIAN-PACIFIC,44.44,12.5,0.0,29.41
WHITE,42.98,49.58,0.0,46.34
BLACK,18.41,40.92,0.0,31.59
TOTAL,33.06,44.88,0.0,39.49
