,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,28.52,36.44,42.48,42.86,34.1,42.75,40.7,40.61
1,32.8,45.09,45.45,100.0,38.21,43.02,37.42,42.42
2,45.45,49.05,45.0,66.67,54.26,52.46,49.29,50.93
3,45.33,55.81,53.1,,49.32,60.36,47.57,57.09
4,56.67,59.6,56.8,100.0,65.96,67.16,53.09,63.05
5,55.36,62.25,65.77,50.0,57.78,70.46,55.21,65.78
6,61.19,64.05,66.67,,58.49,75.62,57.69,69.47
7,56.1,69.63,56.25,100.0,56.41,78.67,59.76,74.04
8,66.04,70.54,66.25,100.0,63.46,78.94,64.36,76.06
9,44.15,55.83,51.38,69.57,47.24,61.32,47.45,57.77
