-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0.0,16.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,148.0,138.0,0.0,174.0,77.0,563.0
30-34,0.0,18.0,13.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,142.0,152.0,0.0,150.0,48.0,529.0
35-39,0.0,15.0,12.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,3.0,0.0,187.0,164.0,0.0,155.0,76.0,621.0
40-44,0.0,21.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,183.0,143.0,0.0,175.0,88.0,628.0
45-49,0.0,24.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,260.0,242.0,0.0,169.0,109.0,826.0
50-54,0.0,17.0,12.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,291.0,258.0,0.0,222.0,137.0,944.0
55-59,0.0,24.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,323.0,304.0,0.0,196.0,134.0,1003.0
60-64,0.0,20.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,329.0,301.0,0.0,200.0,145.0,1013.0
65-OVER,0.0,34.0,30.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,981.0,861.0,0.0,456.0,255.0,2625.0
TOTAL,0.0,189.0,126.0,0.0,16.0,8.0,0.0,1.0,1.0,0.0,14.0,7.0,0.0,7.0,9.0,1.0,2844.0,2563.0,0.0,1897.0,1069.0,8752.0
