-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,20.0,767.0,645.0,3.0,368.0,191.0,0.0,15.0,13.0,0.0,871.0,515.0,0.0,322.0,281.0,13.0,6845.0,5796.0,8.0,4659.0,2379.0,23711.0
30-34,24.0,816.0,622.0,3.0,366.0,207.0,0.0,23.0,15.0,2.0,796.0,480.0,0.0,327.0,265.0,13.0,7513.0,6548.0,8.0,5318.0,2680.0,26026.0
35-39,25.0,825.0,675.0,2.0,379.0,205.0,0.0,23.0,14.0,2.0,795.0,456.0,2.0,485.0,336.0,3.0,8407.0,7234.0,10.0,6078.0,3101.0,29057.0
40-44,15.0,772.0,655.0,2.0,342.0,200.0,0.0,17.0,16.0,4.0,818.0,491.0,2.0,668.0,449.0,5.0,9171.0,8013.0,6.0,6163.0,3545.0,31354.0
45-49,13.0,709.0,660.0,1.0,289.0,239.0,0.0,25.0,24.0,3.0,674.0,570.0,2.0,572.0,543.0,12.0,11199.0,10301.0,3.0,6278.0,4012.0,36129.0
50-54,8.0,546.0,522.0,3.0,301.0,241.0,0.0,15.0,15.0,4.0,604.0,519.0,1.0,434.0,409.0,13.0,12048.0,10616.0,5.0,6061.0,3732.0,36097.0
55-59,10.0,448.0,438.0,0.0,242.0,234.0,0.0,10.0,12.0,2.0,425.0,359.0,2.0,334.0,316.0,6.0,12477.0,11340.0,5.0,4534.0,3100.0,34294.0
60-64,5.0,333.0,299.0,0.0,225.0,182.0,0.0,8.0,11.0,1.0,303.0,227.0,2.0,268.0,262.0,5.0,11620.0,10153.0,7.0,3144.0,2037.0,29092.0
65-OVER,18.0,882.0,643.0,1.0,368.0,328.0,0.0,15.0,8.0,1.0,476.0,366.0,2.0,416.0,475.0,10.0,27605.0,23664.0,3.0,4503.0,2650.0,62434.0
TOTAL,138.0,6098.0,5159.0,15.0,2880.0,2027.0,0.0,151.0,128.0,19.0,5762.0,3983.0,13.0,3826.0,3336.0,80.0,106885.0,93665.0,55.0,46738.0,27236.0,308194.0
