,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,34.62,43.15,47.35,42.86,35.56,43.17,35.4,42.17
1,40.85,51.63,47.44,50.0,49.17,51.16,45.96,50.57
2,49.32,61.65,53.49,44.44,47.2,59.11,54.65,59.53
3,64.77,66.99,53.33,0.0,66.94,63.91,52.82,64.22
4,56.41,69.75,62.4,60.0,60.0,71.11,59.48,69.0
5,67.19,71.8,60.31,100.0,68.75,72.84,59.04,71.01
6,50.7,70.94,63.4,57.14,68.67,74.92,61.39,72.02
7,48.98,74.64,70.0,100.0,72.34,76.94,60.2,74.83
8,60.78,72.21,55.81,85.71,61.34,77.24,60.81,74.7
9,53.12,64.2,55.65,60.87,56.95,68.7,53.17,64.99
