-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,75.0,28.57,40.0,100.0,37.5,46.09,41.44,45.66
30-34,33.33,33.33,38.46,0.0,33.33,56.19,41.25,54.59
35-39,50.0,20.0,41.67,100.0,20.0,62.38,47.83,61.13
40-44,57.14,36.36,40.0,100.0,75.0,66.05,48.48,64.82
45-49,88.89,50.0,66.67,0.0,42.86,71.1,46.3,70.09
50-54,37.5,66.67,63.16,75.0,71.43,72.45,55.0,71.61
55-59,36.36,66.67,61.9,0.0,50.0,76.37,58.9,75.26
60-64,40.0,50.0,71.43,100.0,50.0,77.45,68.09,76.83
65-OVER,50.0,64.86,78.57,100.0,33.33,77.8,69.3,77.47
TOTAL,51.56,49.32,57.69,81.25,44.44,70.51,53.0,69.53
