-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,1.0,326.0,369.0,0.0,44.0,19.0,0.0,1.0,0.0,3.0,522.0,418.0,0.0,22.0,24.0,1.0,1532.0,1414.0,0.0,111.0,94.0,4901.0
30-34,1.0,258.0,274.0,0.0,17.0,17.0,0.0,2.0,2.0,0.0,415.0,295.0,0.0,21.0,18.0,1.0,1314.0,1151.0,0.0,98.0,73.0,3957.0
35-39,1.0,251.0,240.0,0.0,22.0,18.0,0.0,1.0,1.0,0.0,318.0,256.0,0.0,18.0,17.0,0.0,1452.0,1122.0,0.0,108.0,101.0,3926.0
40-44,0.0,200.0,213.0,0.0,18.0,19.0,0.0,1.0,0.0,0.0,204.0,198.0,0.0,20.0,22.0,0.0,1487.0,1302.0,0.0,100.0,70.0,3854.0
45-49,3.0,214.0,225.0,0.0,15.0,13.0,0.0,0.0,1.0,0.0,157.0,273.0,0.0,23.0,22.0,3.0,1761.0,1490.0,0.0,99.0,92.0,4391.0
50-54,0.0,189.0,189.0,0.0,13.0,20.0,0.0,1.0,0.0,0.0,144.0,253.0,0.0,17.0,14.0,2.0,1827.0,1646.0,0.0,92.0,89.0,4496.0
55-59,1.0,151.0,178.0,0.0,6.0,9.0,0.0,1.0,0.0,0.0,92.0,176.0,0.0,15.0,14.0,2.0,1792.0,1669.0,0.0,105.0,82.0,4293.0
60-64,0.0,113.0,115.0,1.0,6.0,11.0,0.0,0.0,1.0,0.0,90.0,141.0,0.0,6.0,13.0,1.0,1767.0,1439.0,0.0,104.0,82.0,3890.0
65-OVER,1.0,240.0,243.0,0.0,11.0,13.0,0.0,1.0,4.0,0.0,106.0,201.0,0.0,30.0,33.0,0.0,4853.0,4038.0,0.0,198.0,138.0,10110.0
TOTAL,8.0,1942.0,2046.0,1.0,152.0,139.0,0.0,8.0,9.0,3.0,2048.0,2211.0,0.0,172.0,177.0,10.0,17785.0,15271.0,0.0,1015.0,821.0,43818.0
