-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,35.02,34.67,50.0,26.67,45.12,46.67,43.26
30-34,80.0,40.25,32.81,0.0,38.46,53.2,50.53,50.6
35-39,50.0,46.64,51.22,0.0,44.44,60.09,51.0,57.47
40-44,80.0,56.1,41.67,0.0,77.78,62.94,58.67,61.66
45-49,77.78,55.76,48.48,50.0,75.0,69.73,52.7,67.24
50-54,60.0,54.12,52.63,50.0,70.0,72.15,59.76,69.15
55-59,57.14,56.65,56.0,0.0,75.0,72.04,64.86,69.7
60-64,0.0,67.68,47.06,0.0,100.0,75.83,80.0,74.77
65-OVER,25.0,68.17,33.33,0.0,30.0,75.58,55.28,74.1
TOTAL,56.82,54.52,41.85,30.0,49.33,67.33,56.16,64.91
