-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,41.67,39.66,0.0,40.68
OTHER,28.57,41.67,0.0,36.84
NATIVE AMERICAN,0.0,100.0,0.0,100.0
LATINO,31.25,57.14,0.0,45.95
ASIAN-PACIFIC,60.0,50.0,0.0,57.14
WHITE,41.59,49.28,0.0,45.51
BLACK,28.1,54.12,0.0,41.8
TOTAL,39.14,49.69,0.0,44.55
