-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,37.84,60.0,0.0,47.76
OTHER,37.5,0.0,0.0,37.5
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,40.0,30.77,0.0,33.33
ASIAN-PACIFIC,0.0,100.0,0.0,28.57
WHITE,43.26,51.27,0.0,47.48
BLACK,25.66,45.56,100.0,36.64
TOTAL,36.81,49.54,100.0,43.54
