-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,33.33,0.0,0.0,0.0,55.13,60.0,47.66
30-34,0.0,47.46,50.0,0.0,0.0,55.73,62.5,53.23
35-39,0.0,61.19,100.0,0.0,0.0,63.41,50.0,62.29
40-44,0.0,60.78,100.0,0.0,0.0,65.7,60.0,63.98
45-49,0.0,63.33,33.33,0.0,50.0,71.19,40.0,68.02
50-54,0.0,67.14,50.0,0.0,0.0,81.73,80.0,77.17
55-59,0.0,77.22,100.0,0.0,0.0,73.08,57.14,73.99
60-64,0.0,83.12,0.0,100.0,0.0,80.41,100.0,81.52
65-OVER,0.0,74.42,0.0,0.0,0.0,78.46,44.44,77.01
TOTAL,0.0,66.0,46.67,25.0,20.0,72.08,60.0,69.88
