AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,2735.0,1.0,132.0,70.0,0.0,19.0,12.0,0.0,0.0,0.0,0.0,30.0,14.0,0.0,7.0,5.0,0.0,702.0,562.0,0.0,803.0,378.0
30-34,3010.0,2.0,93.0,75.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,31.0,19.0,0.0,4.0,7.0,0.0,789.0,659.0,0.0,925.0,386.0
35-39,3798.0,0.0,120.0,80.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,41.0,23.0,0.0,14.0,8.0,0.0,944.0,752.0,0.0,1231.0,573.0
40-44,4411.0,0.0,94.0,86.0,0.0,10.0,7.0,0.0,1.0,1.0,0.0,39.0,20.0,0.0,19.0,14.0,1.0,1029.0,829.0,0.0,1513.0,748.0
45-49,5180.0,0.0,103.0,83.0,0.0,18.0,5.0,0.0,1.0,5.0,0.0,40.0,24.0,0.0,7.0,7.0,0.0,1296.0,1115.0,0.0,1563.0,913.0
50-54,4830.0,1.0,92.0,84.0,0.0,15.0,7.0,0.0,1.0,3.0,0.0,12.0,24.0,0.0,9.0,7.0,0.0,1230.0,1210.0,0.0,1343.0,792.0
55-59,4332.0,0.0,63.0,87.0,0.0,7.0,9.0,0.0,2.0,0.0,0.0,22.0,18.0,0.0,9.0,9.0,0.0,1277.0,1110.0,1.0,1094.0,624.0
60-64,3661.0,2.0,76.0,69.0,0.0,11.0,3.0,0.0,2.0,1.0,0.0,22.0,18.0,0.0,8.0,5.0,0.0,1151.0,960.0,0.0,835.0,498.0
65-OVER,8902.0,2.0,159.0,128.0,0.0,9.0,9.0,0.0,1.0,2.0,0.0,26.0,19.0,0.0,10.0,13.0,0.0,3252.0,2789.0,0.0,1539.0,944.0
TOTAL,40859.0,8.0,932.0,762.0,0.0,110.0,63.0,0.0,8.0,12.0,0.0,263.0,179.0,0.0,87.0,75.0,1.0,11670.0,9986.0,1.0,10846.0,5856.0
