,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,11.11,23.81,28.57,50.0,26.67,46.35,39.32,44.72
1,50.0,41.18,42.86,50.0,60.0,51.97,45.19,51.26
2,0.0,64.29,26.67,50.0,33.33,59.9,56.0,59.01
3,42.86,14.29,50.0,75.0,66.67,64.06,57.33,63.17
4,55.56,58.33,58.33,,40.0,68.99,60.71,68.06
5,100.0,53.33,61.9,50.0,60.0,73.14,56.32,71.89
6,71.43,70.59,76.47,100.0,50.0,77.28,61.25,76.4
7,33.33,57.14,37.5,60.0,85.71,80.28,72.04,79.34
8,50.0,63.16,53.85,78.57,70.0,77.4,67.14,76.74
9,46.03,50.39,46.93,70.27,52.17,69.14,57.87,67.98
