PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
KANSAS,70.68,71.51,100.0,71.19
BOWDON,60.41,63.56,0.00,62.06
SANDHILL,60.62,64.34,75.00,62.60
CENTER POINT,72.75,78.74,0.00,75.71
LOWELL,68.68,70.41,100.0,69.63
MT ZION,64.78,63.47,75.00,64.11
BURWELL,63.84,67.88,100.0,65.94
CLEM,68.26,69.47,100.0,68.92
BOWDON JUNCTION,57.17,64.03,0.00,60.82
TYUS,69.81,71.84,100.0,70.92
FAIRFIELD,70.78,71.29,100.0,71.05
HULETT,70.28,73.82,100.0,72.12
BETHANY,54.77,59.03,66.67,57.05
V R COUNTY SOUTH,61.22,65.36,0.00,63.38
V R COUNTY NORTH,57.60,61.99,66.67,59.91
VILLA RICA CITY,52.90,57.56,33.33,55.56
TEMPLE COUNTY,58.00,62.92,80.00,60.63
TEMPLE CITY,59.25,64.36,33.33,62.00
WHITESBURG,66.43,67.52,0.00,67.00
ROOPVILLE,68.41,71.47,0.00,69.90
WEST CARROLLTON,41.19,54.24,70.00,48.70
EAST CARROLLTON REC,60.86,58.91,0.00,59.70
BONNER,60.36,62.11,75.00,61.36
UNIVERSITY OF W. GA,53.00,60.19,45.45,57.21
COUNTY ADMIN BLDG,59.49,63.61,0.00,61.76
TABERNACLE CHURCH,64.53,67.74,0.00,66.31
EMC,60.85,67.57,0.00,64.29
OLD CAMP CHURCH,68.10,72.12,0.00,70.20
OAK GROVE,65.39,69.74,0.00,67.58
NEW HOPE,55.49,60.55,0.00,58.26
88888,0.00,100.0,0.00,100.0
99999,0.00,0.00,0.00,0.00
TOTAL,60.88,64.40,56.00,62.78
