,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,0.0,32.94,15.0,0.0,66.67,42.71,44.74,36.89
1,50.0,45.92,20.0,,50.0,54.15,46.34,49.41
2,40.0,48.49,30.0,,0.0,62.4,39.29,54.67
3,20.0,55.67,28.57,,50.0,65.15,37.04,59.31
4,62.5,59.06,25.0,,100.0,68.57,31.03,63.08
5,40.0,65.88,0.0,,100.0,72.67,45.45,68.31
6,66.67,65.54,16.67,100.0,50.0,77.64,42.86,70.76
7,33.33,73.46,55.56,,66.67,75.6,60.87,74.05
8,66.67,65.24,83.33,0.0,50.0,73.81,49.32,70.25
9,46.34,57.03,27.71,25.0,60.0,68.25,44.61,62.27
