-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0.0,31.0,18.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,175.0,144.0,0.0,17.0,7.0,403.0
30-34,0.0,25.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,240.0,167.0,0.0,15.0,6.0,474.0
35-39,0.0,14.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,295.0,242.0,0.0,18.0,10.0,609.0
40-44,0.0,16.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,302.0,282.0,0.0,26.0,13.0,665.0
45-49,0.0,22.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,350.0,321.0,0.0,37.0,30.0,785.0
50-54,0.0,25.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,399.0,309.0,0.0,30.0,22.0,814.0
55-59,0.0,21.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,425.0,395.0,0.0,31.0,38.0,923.0
60-64,0.0,20.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,390.0,368.0,0.0,36.0,25.0,860.0
65-OVER,0.0,37.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,0.0,1070.0,1007.0,0.0,110.0,58.0,2313.0
TOTAL,0.0,211.0,163.0,0.0,5.0,12.0,0.0,1.0,0.0,0.0,8.0,17.0,0.0,14.0,5.0,0.0,3646.0,3235.0,0.0,320.0,209.0,7846.0
