-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,38.51,37.27,37.15,38.46,31.36,42.77,30.99,38.02
30-34,33.33,44.82,36.86,54.55,38.35,38.78,37.98,41.64
35-39,31.58,52.24,29.33,33.33,44.15,44.29,38.55,47.47
40-44,42.31,57.46,40.94,66.67,39.84,54.69,44.33,54.58
45-49,53.95,62.13,50.83,50.0,48.08,58.77,46.44,59.04
50-54,60.0,65.42,51.2,33.33,55.56,64.73,51.35,63.59
55-59,61.64,70.75,60.71,20.0,62.5,68.15,52.55,68.1
60-64,53.76,75.15,61.62,42.86,52.27,72.58,53.3,72.11
65-OVER,53.03,74.59,49.72,29.41,61.76,72.97,55.75,72.31
TOTAL,46.19,59.69,43.35,40.51,45.18,60.06,43.6,57.78
