,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,42.86,30.14,36.84,0.0,13.64,43.05,40.22,34.87
1,20.0,43.8,52.94,50.0,50.0,50.59,41.94,46.87
2,0.0,52.76,54.29,0.0,60.0,55.71,47.27,53.38
3,20.0,63.02,44.83,100.0,75.0,65.99,50.0,63.35
4,50.0,64.13,44.83,75.0,50.0,71.24,57.89,67.07
5,50.0,65.89,70.37,100.0,83.33,74.83,45.65,70.37
6,33.33,69.22,64.29,,42.86,76.06,63.27,72.63
7,55.56,71.14,62.5,,83.33,80.29,62.5,76.07
8,66.67,68.11,52.63,66.67,72.73,76.11,63.38,73.03
9,42.31,56.76,51.55,63.16,49.32,69.45,51.3,62.93
