-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,33.33,34.43,0.0,33.82
OTHER,0.0,0.0,0.0,0.0
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,20.0,60.0,0.0,40.0
ASIAN-PACIFIC,75.0,0.0,0.0,60.0
WHITE,25.71,33.33,0.0,29.5
BLACK,0.0,20.0,0.0,12.5
TOTAL,26.92,33.46,0.0,30.13
