,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,35.26,46.86,100.0,41.39
1,45.11,52.75,,49.55
2,57.92,61.52,,59.9
3,62.07,63.44,100.0,62.9
4,66.2,71.04,,68.72
5,67.61,72.51,,70.2
6,72.69,74.6,,73.69
7,77.58,77.42,,77.49
8,78.11,72.76,,75.17
9,66.95,68.11,100.0,67.58
