,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,75.0,29.78,18.18,,33.33,50.45,44.93,41.67
1,14.29,35.78,14.29,,25.0,57.98,42.86,48.37
2,66.67,43.2,41.67,,40.0,64.67,36.67,55.76
3,75.0,47.57,37.5,0.0,66.67,67.46,54.84,60.23
4,75.0,57.84,53.85,100.0,100.0,72.33,50.0,66.84
5,100.0,56.2,25.0,,100.0,75.37,59.26,68.43
6,50.0,68.5,0.0,100.0,33.33,76.68,42.5,72.55
7,25.0,65.41,75.0,0.0,50.0,81.46,58.62,75.78
8,100.0,63.4,80.0,,25.0,76.64,60.29,72.89
9,54.84,51.85,38.81,50.0,43.9,70.99,50.14,63.95
