,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,34.62,40.54,34.69,14.29,35.71,47.55,36.08,42.39
1,43.33,47.72,39.42,33.33,28.0,54.24,47.23,49.77
2,50.0,56.04,43.66,66.67,52.38,62.72,48.68,57.84
3,53.57,59.82,56.92,25.0,50.0,68.52,48.1,62.31
4,57.3,64.36,62.3,50.0,56.6,71.62,47.51,66.51
5,66.67,67.78,69.81,85.71,48.98,76.02,45.85,70.37
6,59.74,70.73,57.14,62.5,50.0,79.04,53.9,73.53
7,56.41,73.1,56.25,50.0,67.65,80.94,51.71,76.07
8,56.72,72.01,48.94,50.0,58.21,76.28,53.7,73.93
9,52.52,61.03,49.66,48.28,46.78,70.69,47.04,64.49
