-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,9.09,37.5,0.0,21.05
OTHER,0.0,0.0,0.0,0.0
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,0.0,0.0,0.0,0.0
ASIAN-PACIFIC,50.0,0.0,0.0,33.33
WHITE,43.09,52.17,0.0,47.89
BLACK,21.21,44.21,0.0,34.78
TOTAL,33.66,47.95,0.0,41.43
