-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,21.4,35.59,0.0,28.81
OTHER,22.22,36.67,0.0,29.82
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,20.93,29.79,0.0,25.56
ASIAN-PACIFIC,33.33,33.33,0.0,33.33
WHITE,37.44,40.58,66.67,39.2
BLACK,14.7,38.85,0.0,28.7
TOTAL,28.37,39.22,66.67,34.42
