,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,38.76,47.95,45.75,43.7
1,42.98,52.14,53.85,47.88
2,48.5,58.25,47.79,53.76
3,54.3,63.98,52.25,59.41
4,60.34,67.63,40.21,64.01
5,61.09,68.94,43.21,65.03
6,62.38,69.63,35.29,66.06
7,64.53,72.28,42.55,68.65
8,66.61,68.11,29.91,67.4
9,54.94,62.39,43.3,58.89
