PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
DRY BRANCH,25.00,58.59,83.33,50.00,54.55,60.82,40.79,59.47
GOLDEN ISLES,0.00,69.06,33.33,0.00,37.50,63.62,53.33,65.48
HIGGSVILLE,0.00,61.50,50.00,0.00,100.0,67.80,72.73,66.09
JEFFERSONVILLE/WARE,33.33,68.28,12.50,0.00,50.00,70.19,58.82,68.21
SHADY GROVE/TARVERS,100.0,63.72,0.00,0.00,0.00,71.28,55.26,66.78
TOTAL,30.77,66.49,45.95,33.33,50.00,65.24,52.67,65.00
