,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,28.57,12.5,57.69,0.0,71.43,49.59,49.07,49.4
1,37.5,18.18,59.09,100.0,66.67,60.25,62.11,59.88
2,33.33,50.0,50.0,100.0,33.33,65.88,54.1,64.77
3,72.73,20.0,42.86,,60.0,71.1,59.02,69.93
4,71.43,14.29,58.82,,60.0,72.59,67.53,71.83
5,20.0,81.82,56.25,,75.0,75.54,57.58,74.12
6,66.67,0.0,60.0,,100.0,78.24,62.34,77.26
7,20.0,100.0,72.73,66.67,100.0,80.57,76.56,80.14
8,55.56,50.0,40.0,0.0,62.5,81.3,79.29,80.94
9,49.18,36.84,56.2,50.0,66.07,73.62,64.24,72.7
