-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0.0,254.0,261.0,1.0,27.0,17.0,0.0,2.0,1.0,0.0,111.0,93.0,0.0,33.0,22.0,1.0,1937.0,1658.0,0.0,526.0,341.0,5285.0
30-34,0.0,177.0,184.0,0.0,16.0,9.0,0.0,1.0,2.0,0.0,75.0,68.0,0.0,25.0,30.0,2.0,1813.0,1450.0,1.0,422.0,264.0,4539.0
35-39,0.0,133.0,128.0,0.0,11.0,8.0,0.0,2.0,0.0,0.0,77.0,65.0,0.0,19.0,9.0,0.0,1678.0,1409.0,1.0,438.0,239.0,4217.0
40-44,3.0,127.0,143.0,0.0,10.0,13.0,0.0,2.0,2.0,0.0,32.0,48.0,0.0,25.0,21.0,0.0,1792.0,1510.0,0.0,375.0,243.0,4346.0
45-49,1.0,126.0,124.0,0.0,11.0,8.0,0.0,0.0,2.0,0.0,42.0,54.0,1.0,21.0,15.0,0.0,1996.0,1816.0,0.0,384.0,271.0,4872.0
50-54,1.0,105.0,118.0,0.0,4.0,9.0,0.0,4.0,3.0,0.0,36.0,59.0,1.0,30.0,19.0,1.0,2090.0,1801.0,0.0,360.0,257.0,4898.0
55-59,0.0,119.0,111.0,0.0,8.0,8.0,0.0,2.0,2.0,0.0,23.0,35.0,0.0,18.0,27.0,1.0,2207.0,1890.0,0.0,393.0,294.0,5138.0
60-64,0.0,59.0,69.0,0.0,4.0,7.0,0.0,0.0,1.0,0.0,13.0,24.0,0.0,12.0,12.0,1.0,2128.0,1858.0,0.0,335.0,236.0,4759.0
65-OVER,2.0,189.0,153.0,0.0,8.0,8.0,0.0,2.0,3.0,0.0,39.0,40.0,0.0,28.0,28.0,1.0,6258.0,5172.0,0.0,774.0,487.0,13192.0
TOTAL,7.0,1289.0,1291.0,1.0,99.0,87.0,0.0,15.0,16.0,0.0,448.0,486.0,2.0,211.0,183.0,7.0,21899.0,18564.0,2.0,4007.0,2632.0,51246.0
