-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,22.86,37.8,0.0,30.92
OTHER,0.0,30.0,0.0,25.0
NATIVE AMERICAN,0.0,100.0,0.0,50.0
LATINO,29.41,43.42,0.0,37.8
ASIAN-PACIFIC,66.67,0.0,0.0,50.0
WHITE,38.49,48.34,0.0,43.79
BLACK,12.0,31.09,0.0,23.34
TOTAL,29.59,41.74,0.0,36.38
