-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,13.0,409.0,447.0,0.0,81.0,43.0,0.0,7.0,3.0,0.0,138.0,99.0,0.0,87.0,78.0,4.0,2744.0,2514.0,8.0,1968.0,1385.0,10028.0
30-34,9.0,337.0,348.0,1.0,71.0,52.0,0.0,10.0,6.0,0.0,164.0,113.0,0.0,109.0,76.0,4.0,2997.0,2444.0,12.0,1914.0,1206.0,9873.0
35-39,6.0,276.0,319.0,1.0,62.0,45.0,0.0,4.0,4.0,0.0,110.0,99.0,0.0,77.0,69.0,2.0,2685.0,2196.0,4.0,1958.0,1127.0,9044.0
40-44,6.0,231.0,253.0,1.0,48.0,27.0,1.0,6.0,2.0,0.0,145.0,92.0,0.0,96.0,63.0,2.0,2562.0,2147.0,9.0,1612.0,1024.0,8327.0
45-49,5.0,264.0,295.0,1.0,33.0,32.0,0.0,7.0,1.0,0.0,100.0,80.0,0.0,120.0,69.0,2.0,2669.0,2455.0,2.0,1550.0,1030.0,8715.0
50-54,1.0,235.0,275.0,0.0,39.0,42.0,0.0,6.0,3.0,1.0,98.0,79.0,0.0,115.0,62.0,3.0,3104.0,2922.0,3.0,1604.0,1246.0,9838.0
55-59,3.0,203.0,210.0,0.0,31.0,38.0,1.0,2.0,0.0,0.0,84.0,68.0,0.0,87.0,60.0,0.0,3032.0,3007.0,3.0,1412.0,1127.0,9368.0
60-64,2.0,158.0,166.0,0.0,49.0,29.0,0.0,4.0,1.0,0.0,58.0,54.0,0.0,108.0,51.0,0.0,2622.0,2355.0,2.0,1131.0,858.0,7648.0
65-OVER,2.0,272.0,261.0,0.0,52.0,34.0,0.0,6.0,6.0,0.0,104.0,81.0,1.0,123.0,80.0,3.0,7080.0,5873.0,2.0,1769.0,1321.0,17070.0
TOTAL,47.0,2385.0,2574.0,4.0,466.0,342.0,2.0,52.0,26.0,1.0,1001.0,765.0,1.0,922.0,608.0,20.0,29495.0,25913.0,45.0,14918.0,10324.0,89911.0
