,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,34.41,43.95,42.86,39.65
1,48.37,51.67,28.57,50.15
2,52.44,55.36,,54.13
3,56.18,64.31,50.0,60.57
4,64.02,65.92,100.0,65.05
5,65.9,69.07,33.33,67.6
6,70.11,74.78,100.0,72.7
7,72.27,76.65,,74.65
8,76.07,72.09,0.0,73.73
9,61.74,64.59,37.04,63.29
