PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
ALTO PARK,65.02,67.06,50.00,66.09
ARMUCHEE,67.14,68.93,100.0,68.10
BARKERS,65.15,67.60,0.00,66.42
CAVE SPRING,63.25,60.87,0.00,62.00
CHULIO,69.85,68.32,0.00,69.07
ETOWAH,67.82,70.44,0.00,69.22
EVERETT SPRINGS,73.51,72.73,100.0,73.18
FLOYD SPRINGS,72.70,71.27,0.00,71.96
FOSTER'S MILL,64.90,64.63,100.0,64.80
GARDEN LAKES,54.86,63.65,100.0,59.67
GLENWOOD,59.92,58.77,100.0,59.31
HOWELL,68.22,68.16,0.00,68.14
EAST LINDALE,67.51,66.72,33.33,67.06
MT ALTO NORTH,50.57,56.74,0.00,54.06
MT ALTO SOUTH,59.86,64.72,75.00,62.54
NORTH CAROLINA,55.83,61.15,100.0,58.64
RIVERSIDE,64.29,63.69,100.0,63.98
EAST ROME,55.73,58.65,50.00,57.39
NORTH ROME,56.68,58.20,0.00,57.54
SOUTH ROME,43.14,53.61,50.00,49.08
TEXAS VALLEY,72.65,76.37,0.00,74.52
VANNS VALLEY,52.77,56.37,100.0,54.73
WATTERS,63.93,64.71,0.00,64.33
WEST LINDALE,61.73,63.12,0.00,62.50
TOWN ROME,54.44,55.02,100.0,54.78
TOTAL,61.01,62.96,62.96,62.07
