,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,30.17,33.98,41.33,16.67,45.39,49.97,39.07,45.82
1,37.5,44.49,47.95,44.44,47.37,56.42,48.66,53.39
2,48.15,55.15,44.16,85.71,44.33,64.04,52.53,59.81
3,43.8,56.13,48.64,77.78,48.91,70.41,52.61,65.39
4,46.46,59.67,51.1,72.73,58.23,73.34,57.55,69.0
5,50.0,62.6,57.93,80.0,58.11,75.35,59.39,71.76
6,56.67,66.92,60.0,60.0,63.51,76.67,57.7,73.56
7,51.28,67.96,55.07,50.0,63.27,79.73,62.5,76.74
8,50.6,69.29,46.88,57.14,66.67,77.79,71.53,76.26
9,45.92,57.2,48.53,61.9,53.55,71.52,55.84,67.43
