-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,34.98,0.0,0.0,33.33,50.21,23.08,41.83
30-34,0.0,38.27,0.0,0.0,100.0,50.53,31.82,44.03
35-39,50.0,48.41,0.0,50.0,0.0,62.5,33.33,54.48
40-44,50.0,56.92,50.0,0.0,0.0,62.3,52.38,59.54
45-49,0.0,57.45,0.0,0.0,100.0,74.65,35.0,66.05
50-54,0.0,55.25,0.0,0.0,0.0,66.81,37.93,60.13
55-59,0.0,63.73,33.33,0.0,100.0,72.6,55.0,67.91
60-64,0.0,63.68,0.0,0.0,100.0,75.0,42.86,69.73
65-OVER,0.0,64.59,0.0,50.0,100.0,74.85,45.45,70.82
TOTAL,20.0,54.89,18.18,50.0,75.0,68.2,39.07,61.69
