AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,2240.0,3.0,114.0,137.0,0.0,17.0,19.0,0.0,2.0,4.0,0.0,40.0,23.0,0.0,14.0,12.0,0.0,808.0,684.0,0.0,219.0,144.0
30-34,2409.0,0.0,142.0,132.0,0.0,12.0,11.0,0.0,1.0,4.0,0.0,41.0,22.0,0.0,23.0,7.0,3.0,989.0,722.0,0.0,190.0,110.0
35-39,2589.0,1.0,145.0,141.0,0.0,21.0,15.0,0.0,4.0,3.0,0.0,47.0,39.0,0.0,17.0,9.0,1.0,1030.0,784.0,0.0,207.0,125.0
40-44,2665.0,1.0,142.0,142.0,1.0,15.0,10.0,0.0,2.0,0.0,0.0,45.0,37.0,0.0,25.0,19.0,2.0,1053.0,864.0,1.0,189.0,117.0
45-49,2771.0,1.0,128.0,133.0,0.0,17.0,7.0,0.0,1.0,5.0,0.0,45.0,33.0,0.0,23.0,16.0,0.0,1082.0,877.0,0.0,225.0,178.0
50-54,2623.0,0.0,114.0,110.0,0.0,13.0,4.0,0.0,0.0,1.0,0.0,25.0,23.0,0.0,9.0,18.0,1.0,996.0,932.0,1.0,196.0,180.0
55-59,2269.0,1.0,71.0,87.0,0.0,9.0,4.0,0.0,1.0,1.0,0.0,17.0,17.0,0.0,13.0,7.0,1.0,880.0,860.0,0.0,157.0,143.0
60-64,1899.0,0.0,51.0,48.0,0.0,7.0,2.0,0.0,2.0,0.0,0.0,19.0,12.0,0.0,11.0,7.0,1.0,799.0,715.0,0.0,128.0,97.0
65-OVER,3747.0,1.0,114.0,93.0,0.0,12.0,5.0,0.0,0.0,1.0,0.0,12.0,12.0,0.0,12.0,13.0,0.0,1611.0,1448.0,0.0,230.0,183.0
TOTAL,23212.0,8.0,1021.0,1023.0,1.0,123.0,77.0,0.0,13.0,19.0,0.0,291.0,218.0,0.0,147.0,108.0,9.0,9248.0,7886.0,2.0,1741.0,1277.0
