,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,48.9,34.81,50.92,48.15,40.9,54.48,43.09,43.7
1,49.04,44.38,50.22,43.55,42.61,53.57,44.7,47.88
2,61.33,50.87,54.68,45.0,49.58,58.53,50.86,53.76
3,67.52,54.68,59.97,58.73,57.29,65.91,55.6,59.41
4,67.97,57.61,65.56,62.22,59.93,71.27,59.23,64.01
5,67.1,57.67,64.46,42.31,59.83,73.79,57.16,65.03
6,58.89,59.28,63.6,40.74,63.42,74.68,55.87,66.06
7,57.54,64.45,63.07,47.37,62.18,75.38,57.68,68.65
8,52.4,65.53,55.79,38.46,57.79,71.47,57.61,67.4
9,59.46,53.44,57.1,48.34,52.57,66.79,52.34,58.89
