,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,24.07,25.38,33.8,,22.03,34.44,30.47,31.22
1,33.33,38.04,37.14,0.0,32.5,49.02,44.51,45.3
2,46.15,50.06,43.75,100.0,50.0,61.63,48.44,56.96
3,64.29,54.22,41.18,0.0,33.33,67.98,52.9,62.85
4,46.15,54.46,54.55,0.0,52.94,71.57,54.73,66.1
5,57.69,59.77,76.92,100.0,53.85,73.58,59.33,69.07
6,55.0,61.65,73.91,0.0,61.54,75.73,51.61,70.8
7,50.0,63.09,64.29,0.0,50.0,78.66,48.94,73.26
8,47.83,61.72,53.33,100.0,43.48,76.94,58.01,73.16
9,42.74,48.89,46.72,33.33,38.16,64.96,47.36,59.43
