,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,40.65,42.84,38.96,16.67,38.29,46.93,35.05,44.29
1,39.02,53.89,53.0,44.44,44.81,52.92,44.09,51.55
2,45.37,59.94,55.51,46.15,50.62,58.65,50.4,57.38
3,57.02,65.93,62.27,84.62,51.47,65.51,53.77,63.9
4,59.42,69.72,74.21,76.47,57.69,68.92,56.34,67.67
5,64.49,73.92,60.59,71.43,63.04,74.04,55.66,71.93
6,61.9,76.32,70.0,60.0,67.0,75.22,57.63,73.77
7,68.57,78.88,74.58,80.0,68.7,79.31,63.12,77.84
8,69.42,78.47,60.15,80.0,66.67,77.38,63.71,76.28
9,57.68,66.58,58.71,61.54,55.07,67.95,51.8,65.72
