-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,38.07,47.9,0.0,43.06
OTHER,34.11,46.26,0.0,40.9
NATIVE AMERICAN,46.15,50.0,0.0,48.15
LATINO,44.9,55.54,60.0,50.92
ASIAN-PACIFIC,43.5,54.38,42.86,48.9
WHITE,52.91,55.88,65.96,54.48
BLACK,26.65,41.39,28.57,34.81
TOTAL,38.76,47.95,46.53,43.69
