-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,3.0,123.0,118.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,26.0,14.0,0.0,26.0,20.0,2.0,862.0,874.0,0.0,46.0,36.0,2167.0
30-34,4.0,117.0,120.0,0.0,5.0,6.0,0.0,1.0,0.0,0.0,14.0,20.0,0.0,16.0,16.0,0.0,883.0,767.0,0.0,52.0,39.0,2060.0
35-39,1.0,125.0,124.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,28.0,9.0,3.0,1060.0,890.0,0.0,64.0,36.0,2406.0
40-44,0.0,128.0,118.0,0.0,14.0,11.0,0.0,2.0,0.0,0.0,21.0,22.0,0.0,24.0,19.0,0.0,1107.0,956.0,0.0,50.0,41.0,2513.0
45-49,2.0,126.0,144.0,0.0,14.0,10.0,0.0,1.0,0.0,0.0,26.0,13.0,0.0,24.0,18.0,1.0,1303.0,1177.0,0.0,76.0,41.0,2976.0
50-54,0.0,105.0,91.0,0.0,7.0,9.0,0.0,2.0,1.0,0.0,13.0,18.0,0.0,28.0,28.0,0.0,1183.0,1090.0,0.0,58.0,56.0,2689.0
55-59,0.0,57.0,63.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,7.0,14.0,0.0,24.0,28.0,1.0,1184.0,1088.0,0.0,68.0,51.0,2610.0
60-64,2.0,37.0,50.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,12.0,10.0,0.0,17.0,18.0,0.0,1059.0,939.0,0.0,61.0,44.0,2258.0
65-OVER,0.0,124.0,102.0,0.0,6.0,12.0,0.0,1.0,1.0,0.0,9.0,8.0,0.0,19.0,35.0,0.0,2397.0,2159.0,0.0,98.0,77.0,5048.0
TOTAL,12.0,942.0,930.0,0.0,79.0,89.0,0.0,7.0,3.0,0.0,149.0,140.0,0.0,206.0,191.0,7.0,11038.0,9940.0,0.0,573.0,421.0,24727.0
