-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,46.67,41.65,43.03,60.0,37.59,38.94,29.59,39.31
30-34,32.0,51.5,43.59,0.0,45.21,45.47,38.5,47.55
35-39,53.49,62.23,46.43,66.67,51.32,54.72,47.95,57.91
40-44,50.0,68.34,54.13,100.0,51.35,57.7,50.0,63.08
45-49,51.61,71.16,63.0,75.0,46.77,68.05,52.86,67.6
50-54,73.33,72.95,60.38,33.33,58.06,75.08,59.28,71.84
55-59,60.47,76.16,57.53,33.33,70.73,75.99,64.15,74.51
60-64,66.07,77.36,65.45,40.0,48.98,77.19,63.62,75.55
65-OVER,51.97,73.74,57.28,40.0,51.43,74.07,61.87,72.4
TOTAL,53.83,66.29,52.87,46.88,49.06,67.57,51.83,64.66
