-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,36.5,49.12,0.0,42.23
OTHER,21.05,29.41,0.0,25.0
NATIVE AMERICAN,25.0,50.0,0.0,33.33
LATINO,21.74,25.0,0.0,23.81
ASIAN-PACIFIC,8.33,42.86,0.0,26.92
WHITE,35.96,44.55,0.0,40.62
BLACK,20.14,33.33,0.0,28.1
TOTAL,32.84,42.09,0.0,37.86
