AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,43.29,0.00,0.00,50.00,59.44,33.33,50.08
25-29,0.00,45.49,100.0,0.00,0.00,46.29,36.36,45.30
30-34,0.00,54.04,100.0,0.00,100.0,58.85,81.82,57.23
35-39,0.00,64.25,0.00,0.00,0.00,69.05,42.86,65.44
40-44,0.00,63.39,0.00,0.00,0.00,69.06,46.67,65.80
45-49,33.33,73.91,0.00,0.00,100.0,73.45,75.00,73.33
50-54,0.00,74.51,0.00,0.00,50.00,77.55,50.00,75.41
55-59,0.00,75.91,0.00,0.00,33.33,76.61,60.00,75.71
60-64,0.00,82.40,100.0,0.00,100.0,82.87,50.00,82.06
65-OVER,100.0,79.50,100.0,0.00,100.0,81.45,76.47,80.80
TOTAL,36.36,66.62,57.14,0.00,42.11,72.74,51.77,69.51
